Date,Price,Sentiment,CE_Confidence,Articles,Tech_Decision,Tech_Score,SIV_Signal,Final_Verdict,Weighted_Score,Risk_Multiplier,Verdict_Reasoning,Market_Reality,Alignment,Experiment_Config
08/01/2018,111.67,BULLISH,HIGH,38,HOLD,0.06,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/02/2018,111.619,BULLISH,HIGH,21,HOLD,0.0571,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/03/2018,111.205,BULLISH,HIGH,52,HOLD,0.0178,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/06/2018,111.362,BULLISH,MODERATE,12,HOLD,0.0379,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/07/2018,111.364,BULLISH,MODERATE,7,HOLD,0.0389,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/08/2018,110.882,BULLISH,MODERATE,13,HOLD,0.0011,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/09/2018,111.158,NEUTRAL,HIGH,21,HOLD,0.0174,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/10/2018,110.797,BULLISH,MODERATE,7,HOLD,-0.001,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/13/2018,110.722,BULLISH,MODERATE,3,HOLD,-0.0049,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/14/2018,111.18,BEARISH,MODERATE,7,HOLD,0.032,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/15/2018,110.63,BULLISH,MODERATE,7,HOLD,-0.005,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/16/2018,110.945,BEARISH,MODERATE,7,HOLD,0.0124,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/17/2018,110.49,BULLISH,MODERATE,9,HOLD,-0.0086,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/20/2018,109.93,BULLISH,MODERATE,10,HOLD,0.0122,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/21/2018,110.078,BULLISH,MODERATE,8,HOLD,-0.0236,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/22/2018,110.549,BEARISH,MODERATE,16,HOLD,0.0017,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/23/2018,111.352,BULLISH,MODERATE,10,HOLD,0.0542,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/24/2018,111.216,BEARISH,HIGH,36,HOLD,0.0457,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/27/2018,111.074,BEARISH,MODERATE,4,HOLD,0.0365,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/28/2018,111.181,NEUTRAL,MODERATE,12,HOLD,0.044,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/29/2018,111.725,BEARISH,MODERATE,7,HOLD,0.0786,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/30/2018,111.018,BEARISH,MODERATE,7,HOLD,0.021,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
08/31/2018,111.02,BULLISH,MODERATE,13,HOLD,0.0212,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/03/2018,111.089,BEARISH,MODERATE,4,HOLD,0.0352,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/04/2018,111.461,BULLISH,HIGH,20,HOLD,0.0606,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/05/2018,111.464,NEUTRAL,MODERATE,10,HOLD,0.0617,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BEARISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/06/2018,110.667,BULLISH,MODERATE,15,HOLD,0.0034,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/07/2018,110.988,NEUTRAL,HIGH,21,HOLD,0.0192,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/10/2018,111.136,BEARISH,MODERATE,10,HOLD,0.0378,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/11/2018,111.63,BULLISH,MODERATE,4,HOLD,0.0703,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/12/2018,111.234,BEARISH,MODERATE,11,HOLD,0.0423,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/13/2018,112.042,BULLISH,MODERATE,10,HOLD,0.0896,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/14/2018,112.049,BEARISH,MODERATE,17,HOLD,0.0917,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/17/2018,111.682,NEUTRAL,MODERATE,11,HOLD,0.0658,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/18/2018,112.35,BULLISH,MODERATE,15,HOLD,0.0854,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/19/2018,112.27,BULLISH,HIGH,30,HOLD,0.0993,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/20/2018,112.484,BULLISH,MODERATE,17,HOLD,0.1125,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/21/2018,112.567,BULLISH,HIGH,20,HOLD,0.1192,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/24/2018,112.792,NEUTRAL,MODERATE,4,HOLD,0.1335,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/25/2018,112.971,BULLISH,HIGH,29,HOLD,0.1454,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/26/2018,112.756,BEARISH,HIGH,41,HOLD,0.1275,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/27/2018,113.4,NEUTRAL,HIGH,33,BUY,0.1635,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
09/28/2018,113.66,BULLISH,MODERATE,17,BUY,0.1787,INCOHERENT,HOLD,0.0,0.0,SIV INCOHERENT,BULLISH,incorrect,"{'pair': 'USDJPY', 'year': 2018, 'months': [8, 9], 'horizon_days': 5, 'market_threshold': 0.0015, 'test_threshold': 0.2}"
